Customer ID,Number_of_Transactions,Total_Spent,Cluster
CUST_0522,23,18764.47,1
CUST_0738,23,5085.32,1
CUST_0741,30,33162.03,0
CUST_0661,20,8529.33,1
CUST_0412,26,24193.980000000003,1
CUST_0679,24,21905.870000000003,1
CUST_0627,16,1549.07,1
CUST_0514,33,37756.59,0
CUST_0860,18,13124.810000000001,1
CUST_0137,26,37033.64,0
CUST_0812,18,5225.5,1
CUST_0077,31,16056.34,0
CUST_0637,18,9797.69,1
CUST_0974,20,3631.2599999999998,1
CUST_0939,28,27372.8,0
CUST_0900,30,19695.61,0
CUST_0281,32,30008.88,0
CUST_0884,24,25881.94,1
CUST_0762,34,38472.36,0
CUST_0320,22,22662.0,1
CUST_0550,26,14912.630000000001,1
CUST_0175,25,32675.07,0
CUST_0372,29,24437.53,0
CUST_0528,20,12202.810000000001,1
CUST_0211,24,16381.56,1
CUST_0236,35,31600.48,0
CUST_0102,24,45510.19,0
CUST_0987,31,48566.93,0
CUST_0903,26,28989.63,0
CUST_0948,21,8326.49,1
CUST_0347,27,17225.91,1
CUST_0140,18,11151.36,1
CUST_0622,17,7967.139999999999,1
CUST_0500,31,41324.65,0
CUST_0371,32,49121.99,0
CUST_0199,25,8378.5,1
CUST_0688,27,15698.66,1
CUST_0585,18,39924.72,1
CUST_0902,24,30546.32,1
CUST_0060,26,21471.38,1
CUST_0329,19,4798.0599999999995,1
CUST_0097,28,25243.51,0
CUST_0313,34,35118.12,0
CUST_0975,20,20285.54,1
CUST_0300,22,38511.840000000004,0
CUST_0278,18,6023.96,1
CUST_0925,41,32300.61,0
CUST_0602,25,20476.24,1
CUST_0440,24,4893.72,1
CUST_0838,29,44675.79,0
CUST_0571,28,24167.27,0
CUST_0880,14,8048.2300000000005,1
CUST_0262,20,6841.89,1
CUST_0579,38,21097.1,0
CUST_0024,27,25172.640000000003,0
CUST_0031,22,9781.83,1
CUST_0618,26,24045.71,1
CUST_0011,26,14905.41,1
CUST_0222,32,14323.2,0
CUST_0821,26,13139.12,1
CUST_0297,24,16488.12,1
CUST_0055,24,16946.16,1
CUST_0543,32,54989.24,0
CUST_0210,21,25198.48,1
CUST_0605,17,34908.08,1
CUST_0693,25,17137.47,1
CUST_0663,21,8443.59,1
CUST_0867,21,28843.75,1
CUST_0071,27,30581.95,0
CUST_0544,29,19561.899999999998,0
CUST_0108,24,21916.73,1
CUST_0494,26,28837.21,0
CUST_0591,31,20194.14,0
CUST_0742,19,21114.66,1
CUST_0293,25,21621.89,1
CUST_0290,36,58238.229999999996,0
CUST_0653,26,14120.800000000001,1
CUST_0040,32,48408.75,0
CUST_0590,29,61285.57,0
CUST_0308,27,7950.159999999999,1
CUST_0680,30,28787.21,0
CUST_0067,23,25949.809999999998,1
CUST_0276,24,12361.36,1
CUST_0068,27,16855.43,1
CUST_0319,27,25094.37,0
CUST_0549,21,14329.71,1
CUST_0999,23,17162.25,1
CUST_0715,19,24709.59,1
CUST_0754,33,52552.32,0
CUST_0328,22,26355.5,1
CUST_0383,25,7403.7699999999995,1
CUST_0452,25,15758.85,1
CUST_0523,28,23198.969999999998,0
CUST_0219,25,28300.239999999998,0
CUST_0788,35,18796.23,0
CUST_0437,24,28908.0,1
CUST_0765,21,29573.34,1
CUST_0089,29,48964.97,0
CUST_0064,23,25697.54,1
CUST_0827,20,16672.57,1
CUST_0717,19,14253.119999999999,1
CUST_0352,27,6411.68,1
CUST_0937,20,10697.06,1
CUST_0257,22,32385.29,1
CUST_0636,25,15042.0,1
CUST_0645,24,11397.95,1
CUST_0555,26,46532.04,0
CUST_0960,23,17617.23,1
CUST_0169,28,48149.15,0
CUST_0918,23,21266.61,1
CUST_0529,21,22500.760000000002,1
CUST_0824,31,16984.83,0
CUST_0986,27,14000.34,1
CUST_0817,23,17230.170000000002,1
CUST_0087,21,46254.5,0
CUST_0433,24,6167.33,1
CUST_0185,13,2749.83,1
CUST_0979,30,50477.13,0
CUST_0535,15,2207.85,1
CUST_0295,20,15334.279999999999,1
CUST_0893,20,12919.6,1
CUST_0426,35,8341.07,0
CUST_0714,15,21469.12,1
CUST_0261,21,33060.85,1
CUST_0238,20,6449.76,1
CUST_0560,29,20900.170000000002,0
CUST_0584,23,28880.21,1
CUST_0446,18,30887.05,1
CUST_0868,30,34050.659999999996,0
CUST_0801,25,20578.88,1
CUST_0600,30,47727.87,0
CUST_0850,23,44029.49,0
CUST_0266,31,16307.18,0
CUST_0996,15,6766.45,1
CUST_0530,27,38432.17,0
CUST_0056,19,6898.2,1
CUST_0121,27,59590.729999999996,0
CUST_0216,27,43495.8,0
CUST_0026,25,27789.32,1
CUST_0073,23,13050.23,1
CUST_0045,21,22182.16,1
CUST_0248,29,13283.480000000001,1
CUST_0722,32,24289.11,0
CUST_0282,31,9302.779999999999,1
CUST_0894,27,15883.92,1
CUST_0915,21,40713.13,0
CUST_0811,16,18135.3,1
CUST_0245,26,26340.18,0
CUST_0823,21,31123.91,1
CUST_0322,20,28889.670000000002,1
CUST_0644,28,23340.73,0
CUST_0159,27,44674.299999999996,0
CUST_0978,21,18271.51,1
CUST_0430,19,22124.76,1
CUST_0942,14,4304.01,1
CUST_0463,22,12374.34,1
CUST_0310,30,31569.9,0
CUST_0698,21,19166.94,1
CUST_0061,26,21963.04,1
CUST_0885,17,30909.81,1
CUST_0596,20,6732.040000000001,1
CUST_0768,26,9491.95,1
CUST_0650,20,5654.25,1
CUST_0651,28,50747.25,0
CUST_0866,28,8130.99,1
CUST_0669,19,36123.58,1
CUST_0299,16,14722.86,1
CUST_0690,27,52534.06,0
CUST_0315,25,52720.37,0
CUST_0311,17,29540.2,1
CUST_0362,22,16982.83,1
CUST_0480,36,61773.4,0
CUST_0111,29,43391.240000000005,0
CUST_0990,21,4846.06,1
CUST_0487,27,27672.65,0
CUST_0364,25,20690.62,1
CUST_0255,20,7169.71,1
CUST_0260,24,34821.52,0
CUST_0803,30,21468.870000000003,0
CUST_0678,25,25338.95,1
CUST_0495,30,50530.64,0
CUST_0671,23,16386.78,1
CUST_0378,31,37041.74,0
CUST_0527,25,24975.32,1
CUST_0846,26,23156.83,1
CUST_0138,25,33726.37,0
CUST_0356,37,30385.21,0
CUST_0366,24,29577.52,1
CUST_0943,28,39667.98,0
CUST_0750,20,5888.0,1
CUST_0949,26,35687.29,0
CUST_0830,37,26453.86,0
CUST_0657,27,12453.73,1
CUST_0200,29,18637.08,0
CUST_0214,29,58267.38,0
CUST_0409,36,30837.37,0
CUST_0333,30,27653.38,0
CUST_0209,28,30208.91,0
CUST_0614,25,16300.5,1
CUST_0079,29,59494.05,0
