Transaction Key;Transaction ID;Customer ID;Location;Payment Method;Category;Item;Quantity;Unit Price;Unit_Cost;Discount_Rate;Total_Recalc;Gross_Profit_After_Discount;Gross_Margin_%;Customer Age;Tenure (Years);Price_vs_Cost_Flag;Pre_Discount_Total;Discount_Zero_Flag;Total Spent;Date;Future_Date_Flag;Pre_Recalc;Gross_Profit;Year;Month;Week;Membership Level;Region;Province/State;Log_Total_Recalc;Month_Year;;
TXN_490235_20240125;TXN_490235;CUST_0175;In-store;Cash;Beverages;Energy Drink;63;2,99;1,62;0,044;180,08;78,02;0,43;33;1,0;OK;188,37;Discounted;180,08;25/1/24;OK;188,37;86,31;2024;01;4;Standard;Northeast;NY;2,26;Jan-2024;;
TXN_159495_20241227;TXN_159495;CUST_0516;Online;Credit Card;Beverages;Bottled Water;38;1,05;0,55;0,000;39,90;19,00;0,48;40;7,1;OK;39,90;No Discount;39,90;27/12/24;OK;39,90;19,00;2024;12;52;Standard;Northeast;MD;1,60;Dec-2024;;
TXN_966263_20230820;TXN_966263;CUST_0311;In-store;Cash;Beverages;Bottled Water;59;1,05;0,85;0,000;61,95;11,80;0,19;36;0,5;OK;61,95;No Discount;61,95;20/8/23;OK;61,95;11,80;2023;08;34;Standard;Northeast;MD;1,79;Aug-2023;;
TXN_703561_20250820;TXN_703561;CUST_0322;In-store;Credit Card;Beverages;Tea Pack;50;2,86;1,83;0,041;137,14;45,64;0,33;65;7,6;OK;143,00;Discounted;137,14;20/8/25;OK;143,00;51,50;2025;08;34;Gold;Northeast;NY;2,14;Aug-2025;;
TXN_372997_20240807;TXN_372997;CUST_0579;In-store;Credit Card;Beverages;Bottled Water;49;1,05;0,91;0,000;51,45;6,86;0,13;48;7,4;OK;51,45;No Discount;51,45;7/8/24;OK;51,45;6,86;2024;08;32;Standard;Northeast;MA;1,71;Aug-2024;;
TXN_158116_20230904;TXN_158116;CUST_0135;In-store;Cash;Beverages;Energy Drink;12;2,99;2,15;0,000;35,88;10,08;0,28;56;0,5;OK;35,88;No Discount;35,88;4/9/23;OK;35,88;10,08;2023;09;36;Platinum;West;OR;1,55;Sep-2023;;
TXN_847823_20230921;TXN_847823;CUST_0055;Online;Digital Wallet;Beverages;Energy Drink;49;2,99;1,96;0,033;141,68;45,64;0,32;40;6,3;OK;146,51;Discounted;141,68;21/9/23;OK;146,51;50,47;2023;09;38;Standard;South;TX;2,15;Sep-2023;;
TXN_970778_20250815;TXN_970778;CUST_0976;In-store;Cash;Beverages;Energy Drink;41;2,99;1,58;0,044;117,20;52,42;0,45;43;1,5;OK;122,59;Discounted;117,20;15/8/25;OK;122,59;57,81;2025;08;33;Gold;South;NC;2,07;Aug-2025;;
TXN_902529_20241118;TXN_902529;CUST_0543;In-store;Credit Card;Beverages;Soft Drink;45;2,20;1,51;0,000;99,00;31,05;0,31;58;3,2;OK;99,00;No Discount;99,00;18/11/24;OK;99,00;31,05;2024;11;47;Gold;West;AZ;2,00;Nov-2024;;
TXN_951291_20241202;TXN_951291;CUST_0586;In-store;Credit Card;Beverages;Energy Drink;31;2,99;1,83;0,000;92,69;35,96;0,39;32;0,4;OK;92,69;No Discount;92,69;2/12/24;OK;92,69;35,96;2024;12;49;Gold;Northeast;NY;1,97;Dec-2024;;
